,name_txt_file,short_description,category,availability,price,images,full_description,hash_in
1,2020-04-18_16-17-23_UTC.txt,"🕓 РАЗВИВАЮЩИЕ ЧАСЫ - ВКЛАДЫШ - ШНУРОВКА ""3в1"" ""Пингвиненок""
",Вкладыши,1,510,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_16-17-23_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_16-17-23_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_16-17-23_UTC_3.jpg","⠀➡️ Деревянные часы - вкладыш - шнуровка  предусмотрена для деток от 2 лет.⠀Игра научит ребенка ориентироваться во времени, познакомит с первыми цифрами и фигурами, обучит азам счета, а также будет тренировать мелкую моторику рук, благодаря функции шнуровочки.⠀Игрушка выполнена в виде настоящих часов, с подвижными стрелками. В качестве цифр выступают цветные фигурки.12 цветных фигур и соответствующие отверстия для них по периметру часов позволят ребенку использовать игру в качестве сортера.⠀Кроме этого в набор входит шнурок, что позволяет ребенку нанизывать на него фигурки со специальным отверстием.⠀Товар упакован в плёнку.⠀👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 120 шт.⠀#деревянныеигрушки#деревянныеигрушкиалматы#деревянныеигрушкиоптом#деревянныеигрушкисосклада#деревянныеигрушкинедорого#развивающиечасы#обучающиечасы#деревянныечасы#",1
5,2020-04-18_16-05-09_UTC.txt,"👩‍🍳🍲 ДЕТСКАЯ ДЕРЕВЯННАЯ ИГРОВАЯ КУХНЯ
",Сюжетно-ролевые наборы,0,20800,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_16-05-09_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_16-05-09_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_16-05-09_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_16-05-09_UTC_4.jpg","⠀Детская деревянная кукольная кухня – особая гордость для каждой девочки. Ведь на ней она может почувствовать себя «взрослой» и готовить вкусные ужины для любимых игрушек так, как делает ее мама.⠀Игровой набор Кухня — это настоящие кухонные предметы, уменьшенные до игрушечных.⠀Кухня оборудована: духовкой, плитой,мойкой и стиральной машиной, а также кухонными предметами.⠀Готовить игрушечные блюда на такой кухне — настоящая забава для каждой маленькой хозяйки!⠀⠀#деревянныеигрушки#деревянныеигрушкиалматы#деревянныеигрушкиоптом#деревянныеигрушкисосклада#деревянныеигрушкинедорого#детскаядеревяннаякухня#детскиедеревянныекухни#деревянныеигрушкиоптомалматы#детскаякухня#игроваядетскаякухня#деревянныекухниоптом#деревянныекухнисосклада#детскиекухниоптом#игровыекухниоптом#детскиекухнисосклада",1
13,2020-07-02_07-14-20_UTC.txt,"🤖 РОБОТОТЕХНИЧЕСКИЙ КОНСТРУКТОР ""7 в 1"" ""Космический флот"" на солнечной батарее
",Конструкторы,0,2500,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_07-14-20_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_07-14-20_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_07-14-20_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_07-14-20_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_07-14-20_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_07-14-20_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_07-14-20_UTC_7.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_07-14-20_UTC_8.jpg","⠀➡️ Современная инновационная игрушка для детей от 8 до 16 лет.⠀Конструктор роботов 7 в 1 ""Космический флот"" на солнечной батарее станет отменным подарком для каждого ребенка на любой праздник.⠀Этот набор способен наглядно показать, на что способны солнечные батареи.У ребенка будет возможность выбрать того робота, который ему нравится, соорудив его своими руками.⠀Это прекрасная тренировка мелкой моторики рук, а также вариант для развития фантазии.⠀С помощью набора можно построить 7 разных космических аппаратов:⠀- космическую станцию;⠀- шаттл;⠀- механику;⠀- собаку;⠀- исследователя;⠀- луноход⠀- астронавта.⠀В составе комплекта вы найдете солнечный генератор. Он эффективно работает от солнечных лучей, а срок его службы продолжительный. В процессе его изготовления не были использованы вредные компоненты.⠀Все игрушки приходят в движение от этой солнечной батареи, что приводит ребенка в восторг.⠀Сделайте такой подарок детям, чтобы они получили возможность развиваться, а также искать новые способы для увлекательного времяпровождения. Поверьте, он не будет скучать, ведь интересная игрушка надолго его завлечет.⠀Вы тоже можете подключиться к увлекательной игре, так как такой робот понравится всем без исключения. Помогите ребенку разобраться во всех особенностях строения конструкции игрушки, чтобы он получил новые знания и навыки. Быть может, в будущем это поможет ему определиться со своей сферой деятельности.⠀Вы и сами сможете насладиться веселым времяпровождением, ведь разбираться во всех особенностях робота очень увлекательно.⠀⠀#игрушкироботтотехника#робототехника#роботехникаалматы#умныеигрушки#интерактивныеигрушки#роботыигрушки#интерактивныероботы#роботостроение#умныйробот#роботнасолнечнойэнергии#роботнасолнечнойбатарее#конструкторробот#роботконструктор#интерактивныеигрушкиалматы#роботы#робототехникадлядетей#игрушкаробот#роботигрушка#роботдлядетей#игровойробот#солнечныйконструктор",1
27,2020-07-19_15-42-28_UTC.txt,"🔩 РАЗВИВАЮЩИЙ КОНСТРУКТОР ""10в1"" С ШУРУПОВЕРТОМ ""Набор юного техника"" (286 элементов)
",Конструкторы,1,4450,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-19_15-42-28_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-19_15-42-28_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-19_15-42-28_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-19_15-42-28_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-19_15-42-28_UTC_5.jpg","⠀➡️ Аналог классического металлического конструктора, выполненный из высокопрочной пластмассы.⠀Это превосходный во всех отношениях и, главное, весьма полезный подарок для подрастающих мальчишек, призванный совместить игру и развитие в плане мелкой моторики, логики и воображения.⠀Из 286 деталей конструктора можно собрать 10 различных видов транспорта: машинки, кораблики, вертолёты, спецтехнику, роботов или любую другую модель с помощью собственной фантазии.⠀Детали крепятся с помощью классического винтового соединения, что гарантирует высокое качество сделанных моделей и механизмов.⠀В состав входит компактный шуруповерт, приспособленную под маленькую ручку и функционирующую за счет обычных батареек, гаечный ключ и много крепежных деталей.⠀Шуруповерт работает от 2-х батареек АА (не входит в комплект).⠀Набор изготовлен из безопасных и нетоксичных материалов.⠀Набор станет отличным подарком для детей.⠀Рекомендовано детям от 6-ти лет и старше.👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: высококачественный ABS-пластик🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 24 шт.⠀#игрушкиоптом#игрушкиоптомалматы#игрушкиалматы#игрушкисосклада#игрушкисоскладаалматы#игрушкинедорого#оптомигрушки#ойыншыктар#ойыншыктароптом#ойыншыктаралматы#ойыншыктарастана#конструкторсшуруповертом#конструктороптом#конструкторалматы#конструкторсшуруповертомалматы#конструкторсшуруповертомоптом#конструкторсшуруповертомастана#конструкторсдрелью#конструкторыоптомалматы",1
30,2019-12-14_09-19-46_UTC.txt,"🧠 РАЗВИВАЮЩАЯ ИГРА - ГОЛОВОЛОМКА ""4 цвета""
",Головоломки,1,1300,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2019-12-14_09-19-46_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2019-12-14_09-19-46_UTC_2.jpg","⠀➡️ Интересная головоломка, направленная на развитие логического мышления, воображения и сообразительности.⠀В комплекте идут карточки с заданиями: на них изображены цветные кружочки, и цель игры - выставить кружочки в рамке таким же образом, как на карточке. При этом фигурки-кружочки закреплены и могут двигаться только по деревянным пазам.⠀Подходит для детей от 2 лет.👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 40 шт.⠀#деревяннаяигрушка#развивающиеигрушки#развивайка#развивашки#развивайкадлядетей#развивашкадлядетей#игрушкимонтессори#монтессориигрушки#деревянныеигрушки#деревянныеигрушкиоптом#деревянныеигрушкиоптомалматы#развивашкидлямалышей#деревянныеигрушкидлямалышей#деревянныеигрушкимонтессори#монтессори#монтессориигрушка#монтессориигрушкиоптом#монтессориигрушкиоптомалматы#игрушкимонтессориоптом#игрушкимонтессориоптомалматы#игрушкаоптом#игрушкиоптомалматы#игрушкиалматы#игрушкисосклада#игрушкисоскладаалматы#разаивающиеигрушкинедорого#развивашкинедорого#развивайкинедорого#игрушкимонтессоринедорого#монтессориигрушкинедорого",1
34,2020-04-16_19-10-56_UTC.txt,"📋 ДЕРЕВЯННАЯ ДВУСТОРОННЯЯ МАГНИТНАЯ МАРКЕРНО-МЕЛОВАЯ ДОСКА-ПЕНАЛ
",Магнитные доски и планшеты,1,1850,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-16_19-10-56_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-16_19-10-56_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-16_19-10-56_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-16_19-10-56_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-16_19-10-56_UTC_5.jpg","⠀☑️ Деревянная двухсторонняя магнитная доска для рисования (фломастерами, маркерами или мелом) и сборки магнитных пазлов.⠀Магнитная доска - это занимательная, творческая игра с разноцветными объемными фигурками-магнитами.⠀Двусторонняя доска для рисования или для творчества, на которой Ваш ребенок может рисовать и писать мелками, создавать объемные 3D картины с магнитными фигурками, дорисовывая к ним на доске любые элементы, солнышко, небо, воздушные шары и всё что пожелает его фантазия и настроение.⠀Безопасная игрушка, набор выполнен полностью из дерева.⠀Когда ваш ребенок наиграется можно все элементы обратно убрать в ящик, он не занимает много места и удобно хранить в комнате.⠀В комплекте: доска двухсторонняя, магнитные фигурки, маркер, мелки, губка, книжечка с примерами.⠀👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 36 шт.⠀#деревяннаяигрушка#развивающиеигрушки#развивайка#развивашки#развивайкадлядетей#развивашкадлядетей#игрушкимонтессори#монтессориигрушки#деревянныеигрушки#деревянныеигрушкиоптом#деревянныеигрушкиоптомалматы#развивашкидлямалышей#деревянныеигрушкидлямалышей#деревянныеигрушкимонтессори#монтессори#монтессориигрушка#монтессориигрушкиоптом#монтессориигрушкиоптомалматы#игрушкимонтессориоптом#игрушкимонтессориоптомалматы#игрушкаоптом#игрушкиоптомалматы#игрушкиалматы#игрушкисосклада#игрушкисоскладаалматы",1
35,2020-04-18_17-16-42_UTC.txt,"🚙 ЛОГИЧЕСКАЯ ИГРА-ГОЛОВОЛОМКА ""Smart Car""
",Головоломки,0,3700,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_17-16-42_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_17-16-42_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_17-16-42_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_17-16-42_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_17-16-42_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_17-16-42_UTC_6.jpg","⠀➡️ ""Smart Car"" приглашает прокатиться с ветерком ребят от 4 до 8 лет!⠀Игра ""Smart Car"" – это забавный автомобильчик, который можно собрать 96-ю способами. Всё, что для этого нужно – внимание и умение комбинировать детали.⠀Настольная игра-головоломка ""Smart Car"" сочетает в себе сразу несколько игрушек:- это и головоломка, развивающая пространственное мышление и логику;- и простейший конструктор, который научит ребят комбинировать различные детали;- и качественная детская игрушка, которая понравится самым маленьким.⠀Четырёхколесная платформа и крупные разноцветные детали игры-головоломки ""Smart Car""  бросают вызов конструкторским навыкам маленьких автомехаников.⠀В книжке-задании ребенка ожидает 96 заданий, начиная от самых простых, где указан порядок сборки, вплоть до самых сложных, где полную картину предстоит восстановить, полагаясь на собственную смекалку.⠀В комплект головоломки входят: платформа на колёсиках, четыре разноцветных детали и блокнот с 96 заданиями и ответами.⠀Платформа сделана из пластика, а детали из натуральной древесины.⠀⠀#настольнаяигра#настольныеигры#настольныеигрыоптом#настольныеигрысосклада#настольныеигрыалматы#игранастольная#игрыдлявсейсемьи#иградлядетей#настольныеигрыоптомсосклада#логическиеигрыоптом#логическаяигра#логическиеигры#логическиеигрыдлядетей#детскиелогическиеигры#логическиеигрыалматы#логическиеигрысосклада#логическаяиграсосклада#логическаяиграоптом#играголоволомка#головоломкадлядетей#головоломкидлядетей#детскиеголоволомкиоптом#детскиеголоволомкиалматы#детскиеголоволомкиастана",1
45,2020-01-27_12-59-40_UTC.txt,"🐝 РАЗВИВАЮЩИЙ НАБОР - СОРТЕР ""Пчёлы и улей""
",Обучение,1,1700,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_12-59-40_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_12-59-40_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_12-59-40_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_12-59-40_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_12-59-40_UTC_5.jpg","⠀➡️ Ребёнок должен логически рассортировать каждую пчёлку в нужный домик (по цвету). Сделать это можно специальными пинцетиком, а можно и пальчиками.⠀Отличное, развивающее логику пособие, способствует улучшению моторики и восприятию цвета, и соответсвтует методикам Марии Монтессори, столь популярной в наши дни.⠀Дети очень увлеченно играют в сортировочные игры, ведь они могут найти соответстия по цветам и навести порядок в маленьком пчелином улье, а это целое событие для малыша!⠀Такая игра будет интересна не только одному ребенку, ведь детки прекрасно могут сортировать насекомых коллективно, устраивая соревнование.⠀С таким замечательным набором малыш такжеовладеет навыками счета и узнает цвета.⠀Учась захатывать пчелок пинцетом, он разовьет мелкую моторику, столь важную для общего развития и речи.👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 48 шт.⠀#деревянныеигрушки#деревянныеигрушкиалматы#деревянныеигрушкиоптом#деревянныеигрушкиоптомалматы#деревянныеигрушкисосклада#деревянныеигрушкинедорого#игрушкимонтессориоптом#игрушкимонтессориоптомалматы#игрушкимонтесори#деревянныйсортер#монтессориигрушки#монтессориигрушкиоптом",1
50,2019-12-07_16-51-30_UTC.txt,"🧾 ОБУЧАЮЩИЙ АУДИОПЛАКАТ ""Веселый зоопарк""
",Обучение,1,0,http://localhost:8888/sabi/wp-content/uploads/2023/02/2019-12-07_16-51-30_UTC.jpg,"⠀- в целоф. упаковке- 950 KZT🇰🇿 / 137 RUB🇷🇺⠀- в цветной коробке - 1 200 KZT🇰🇿 / 171 RUB🇷🇺⠀➡️ Кто живёт в зоопарке?⠀Ребёнок узнает это с говорящим плакатом ""Веселый зоопарк"". 26 животных расскажут стихи и интересные факты о себе.⠀Говорящий плакат  познакомит Вашего ребенка с удивительным миром дикой природы.⠀Так малыш без труда запомнит всех зверей и правильно ответит на вопросы в режиме «Викторина».⠀Плакат воспроизводит:⠀- зоовикторину ""Проверь себя"",⠀- названия 26 животных зоопарка,⠀- 26 интересных фактов о зверях,⠀- 8 стихов о животных.⠀Работает от 3-х батареек типа ААА (не входит в комплект)⠀⠀#обучающийплакат#говорящийплакат#плакатобучающий#плакатыобучающие#обучающаяигрушка#обучающаяигрушкакупить#обучающийплакатоптом#обучающаяигрушканедорого#обучающийплакаталматы#плакатговорящий#обучающиеплакатыоптом#обучающийплакатастана#интерактивныйплакат#интерактивныйплакатоптоминтерактивныйплакаталматы#аудиоплакат#плакатдлямалышей#аудиоплакатыдлямалышей",1
51,2020-01-26_03-39-10_UTC.txt,"🌞🌘 ЛОГИЧЕСКАЯ ИГРА-ГОЛОВОЛОМКА ""День и Ночь""
",Головоломки,1,2700,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-26_03-39-10_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-26_03-39-10_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-26_03-39-10_UTC_3.jpg","⠀➡️ Красочная игра для малышей ""День и ночь"" - это яркие и необычные, приятные на ощупь деревянные детали конструктора-головоломки для детей от двух лет.⠀Игра имеет 48 заданий и 2 уровня сложности:⠀- уровень ""День"" подойдет начинающим игрокам: в нем необходимо воссоздать из деревянных частей ""пейзаж"" по одной из детальных иллюстраций,⠀- уровень ""Ночь"" дает представление лишь о контурах деталей, из которых надо собрать конструктор, соответствующий очертаниям предметов на картинке.⠀Игра направлена на развитие внимания, пространственного и логического мышления, воображения.⠀Работа с яркими деталями тренирует цветовосприятие и мелкую моторику.⠀Выполняя задания, ребенок научится действовать по алгоритму, а этот навык очень важен для любой учебной деятельности.⠀Для детей от 2 лет.👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 40 шт.⠀#головоломкадлядетей#детскаяголоволомка#играголоволомка#головоломкаигра#головоломкиоптом#детскиеголоволомкиоптом#головоломкидлядетей#развивающиеигры#развивающиеигрыоптом#развивашкидлямалышей#развивайкадлядетей#развивашкиоптом#развивающиеигрушки#развивающиеигрушкиоптом#развивающиеигрыдлядетей#логическиеигрыоптом#логическаяигра#логическиеигрыдлядетей#детскиелогическиеигры#логическиеигрыалматы#логическиеигрысосклада#логическиеигрынедорого#логическаяиграсосклада#логическаяиграоптом",1
